Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,06%"
"GALICIA","30-39","2","0,12%"
"GALICIA","40-49","4","0,23%"
"GALICIA","50-59","45","2,62%"
"GALICIA","60-69","115","6,69%"
"GALICIA","70-79","296","17,23%"
"GALICIA","80-89","776","45,17%"
"GALICIA",">=90","478","27,82%"
"GALICIA","Otros","1","0,06%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,25%"
"A.S. A CORUÑA E CEE","40-49","2","0,5%"
"A.S. A CORUÑA E CEE","50-59","14","3,5%"
"A.S. A CORUÑA E CEE","60-69","38","9,5%"
"A.S. A CORUÑA E CEE","70-79","80","20%"
"A.S. A CORUÑA E CEE","80-89","166","41,5%"
"A.S. A CORUÑA E CEE",">=90","99","24,75%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","1,63%"
"A.S. FERROL","60-69","8","6,5%"
"A.S. FERROL","70-79","27","21,95%"
"A.S. FERROL","80-89","59","47,97%"
"A.S. FERROL",">=90","27","21,95%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,6%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","10","5,95%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","24","14,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","74","44,05%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","59","35,12%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","7","2,02%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","14","4,03%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","50","14,41%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","160","46,11%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","116","33,43%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","5","4,76%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","13","12,38%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","29","27,62%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","39","37,14%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","19","18,1%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,39%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,39%"
"A.S. SANTIAGO E BARBANZA","50-59","5","1,95%"
"A.S. SANTIAGO E BARBANZA","60-69","16","6,23%"
"A.S. SANTIAGO E BARBANZA","70-79","46","17,9%"
"A.S. SANTIAGO E BARBANZA","80-89","131","50,97%"
"A.S. SANTIAGO E BARBANZA",">=90","56","21,79%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,39%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,31%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,31%"
"A.S. VIGO","50-59","11","3,46%"
"A.S. VIGO","60-69","16","5,03%"
"A.S. VIGO","70-79","40","12,58%"
"A.S. VIGO","80-89","147","46,23%"
"A.S. VIGO",">=90","102","32,08%"
