Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,06%"
"GALICIA","30-39","2","0,13%"
"GALICIA","40-49","4","0,25%"
"GALICIA","50-59","38","2,38%"
"GALICIA","60-69","102","6,38%"
"GALICIA","70-79","276","17,26%"
"GALICIA","80-89","722","45,15%"
"GALICIA",">=90","453","28,33%"
"GALICIA","Otros","1","0,06%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,28%"
"A.S. A CORUÑA E CEE","40-49","2","0,56%"
"A.S. A CORUÑA E CEE","50-59","11","3,07%"
"A.S. A CORUÑA E CEE","60-69","31","8,66%"
"A.S. A CORUÑA E CEE","70-79","72","20,11%"
"A.S. A CORUÑA E CEE","80-89","151","42,18%"
"A.S. A CORUÑA E CEE",">=90","90","25,14%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","1,8%"
"A.S. FERROL","60-69","6","5,41%"
"A.S. FERROL","70-79","24","21,62%"
"A.S. FERROL","80-89","53","47,75%"
"A.S. FERROL",">=90","26","23,42%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,63%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","5,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","23","14,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","70","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","55","34,81%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,83%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,66%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","49","14,94%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","151","46,04%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","110","33,54%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","4","4,12%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","13","13,4%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","25","25,77%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","36","37,11%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","19","19,59%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,41%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,41%"
"A.S. SANTIAGO E BARBANZA","50-59","5","2,06%"
"A.S. SANTIAGO E BARBANZA","60-69","16","6,58%"
"A.S. SANTIAGO E BARBANZA","70-79","44","18,11%"
"A.S. SANTIAGO E BARBANZA","80-89","122","50,21%"
"A.S. SANTIAGO E BARBANZA",">=90","53","21,81%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,41%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,33%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,33%"
"A.S. VIGO","50-59","9","2,96%"
"A.S. VIGO","60-69","15","4,93%"
"A.S. VIGO","70-79","39","12,83%"
"A.S. VIGO","80-89","139","45,72%"
"A.S. VIGO",">=90","100","32,89%"
