Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","4","0,16%"
"GALICIA","40-49","8","0,32%"
"GALICIA","50-59","76","3,07%"
"GALICIA","60-69","168","6,78%"
"GALICIA","70-79","477","19,24%"
"GALICIA","80-89","1.090","43,97%"
"GALICIA",">=90","654","26,38%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,33%"
"A.S. A CORUÑA E CEE","40-49","6","0,99%"
"A.S. A CORUÑA E CEE","50-59","25","4,11%"
"A.S. A CORUÑA E CEE","60-69","55","9,03%"
"A.S. A CORUÑA E CEE","70-79","133","21,84%"
"A.S. A CORUÑA E CEE","80-89","256","42,04%"
"A.S. A CORUÑA E CEE",">=90","132","21,67%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","5","2,24%"
"A.S. FERROL","60-69","12","5,38%"
"A.S. FERROL","70-79","47","21,08%"
"A.S. FERROL","80-89","102","45,74%"
"A.S. FERROL",">=90","57","25,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","0,9%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","16","7,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","31","13,96%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","104","46,85%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","69","31,08%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","9","2,13%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","17","4,03%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","70","16,59%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","187","44,31%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","139","32,94%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,53%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","5,82%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","19","10,05%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","51","26,98%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","71","37,57%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","36","19,05%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,27%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,27%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,17%"
"A.S. SANTIAGO E BARBANZA","60-69","24","6,52%"
"A.S. SANTIAGO E BARBANZA","70-79","78","21,2%"
"A.S. SANTIAGO E BARBANZA","80-89","173","47,01%"
"A.S. SANTIAGO E BARBANZA",">=90","82","22,28%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,27%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,22%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,22%"
"A.S. VIGO","50-59","16","3,59%"
"A.S. VIGO","60-69","25","5,61%"
"A.S. VIGO","70-79","67","15,02%"
"A.S. VIGO","80-89","197","44,17%"
"A.S. VIGO",">=90","139","31,17%"
