Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","5","0,18%"
"GALICIA","40-49","11","0,4%"
"GALICIA","50-59","84","3,07%"
"GALICIA","60-69","188","6,86%"
"GALICIA","70-79","534","19,5%"
"GALICIA","80-89","1.196","43,67%"
"GALICIA",">=90","719","26,25%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,3%"
"A.S. A CORUÑA E CEE","40-49","7","1,04%"
"A.S. A CORUÑA E CEE","50-59","28","4,18%"
"A.S. A CORUÑA E CEE","60-69","63","9,4%"
"A.S. A CORUÑA E CEE","70-79","147","21,94%"
"A.S. A CORUÑA E CEE","80-89","279","41,64%"
"A.S. A CORUÑA E CEE",">=90","144","21,49%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","6","2,52%"
"A.S. FERROL","60-69","12","5,04%"
"A.S. FERROL","70-79","52","21,85%"
"A.S. FERROL","80-89","108","45,38%"
"A.S. FERROL",">=90","60","25,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","0,78%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","19","7,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","37","14,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","120","46,51%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","80","31,01%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,22%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","11","2,37%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","18","3,88%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","76","16,38%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","207","44,61%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","151","32,54%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,45%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","4,98%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","22","9,95%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","56","25,34%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","82","37,1%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","49","22,17%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,26%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,26%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,1%"
"A.S. SANTIAGO E BARBANZA","60-69","25","6,56%"
"A.S. SANTIAGO E BARBANZA","70-79","82","21,52%"
"A.S. SANTIAGO E BARBANZA","80-89","178","46,72%"
"A.S. SANTIAGO E BARBANZA",">=90","85","22,31%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,26%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,2%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,59%"
"A.S. VIGO","50-59","18","3,55%"
"A.S. VIGO","60-69","29","5,72%"
"A.S. VIGO","70-79","84","16,57%"
"A.S. VIGO","80-89","222","43,79%"
"A.S. VIGO",">=90","150","29,59%"
