Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","5","0,19%"
"GALICIA","40-49","8","0,31%"
"GALICIA","50-59","78","3,01%"
"GALICIA","60-69","175","6,76%"
"GALICIA","70-79","497","19,19%"
"GALICIA","80-89","1.141","44,05%"
"GALICIA",">=90","684","26,41%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,31%"
"A.S. A CORUÑA E CEE","40-49","6","0,93%"
"A.S. A CORUÑA E CEE","50-59","26","4,04%"
"A.S. A CORUÑA E CEE","60-69","59","9,18%"
"A.S. A CORUÑA E CEE","70-79","142","22,08%"
"A.S. A CORUÑA E CEE","80-89","268","41,68%"
"A.S. A CORUÑA E CEE",">=90","140","21,77%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","5","2,18%"
"A.S. FERROL","60-69","12","5,24%"
"A.S. FERROL","70-79","49","21,4%"
"A.S. FERROL","80-89","104","45,41%"
"A.S. FERROL",">=90","59","25,76%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","0,84%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","17","7,17%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","32","13,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","112","47,26%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","74","31,22%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,23%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","9","2,05%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","17","3,87%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","72","16,4%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","196","44,65%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","144","32,8%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,5%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","5,45%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","20","9,9%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","51","25,25%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","78","38,61%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","41","20,3%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,27%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,27%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,16%"
"A.S. SANTIAGO E BARBANZA","60-69","24","6,47%"
"A.S. SANTIAGO E BARBANZA","70-79","79","21,29%"
"A.S. SANTIAGO E BARBANZA","80-89","175","47,17%"
"A.S. SANTIAGO E BARBANZA",">=90","82","22,1%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,27%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,21%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,21%"
"A.S. VIGO","50-59","17","3,62%"
"A.S. VIGO","60-69","26","5,54%"
"A.S. VIGO","70-79","72","15,35%"
"A.S. VIGO","80-89","208","44,35%"
"A.S. VIGO",">=90","144","30,7%"
