Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","2","0,05%"
"GALICIA","30-39","5","0,14%"
"GALICIA","40-49","17","0,46%"
"GALICIA","50-59","105","2,85%"
"GALICIA","60-69","241","6,53%"
"GALICIA","70-79","702","19,03%"
"GALICIA","80-89","1.575","42,69%"
"GALICIA",">=90","1.040","28,19%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,24%"
"A.S. A CORUÑA E CEE","40-49","8","0,95%"
"A.S. A CORUÑA E CEE","50-59","31","3,67%"
"A.S. A CORUÑA E CEE","60-69","71","8,4%"
"A.S. A CORUÑA E CEE","70-79","181","21,42%"
"A.S. A CORUÑA E CEE","80-89","356","42,13%"
"A.S. A CORUÑA E CEE",">=90","196","23,2%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,63%"
"A.S. FERROL","50-59","7","2,19%"
"A.S. FERROL","60-69","17","5,33%"
"A.S. FERROL","70-79","60","18,81%"
"A.S. FERROL","80-89","142","44,51%"
"A.S. FERROL",">=90","91","28,53%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,08%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","25","6,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","53","14,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","157","42,32%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","130","35,04%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,16%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,75%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","27","4,37%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","107","17,31%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","262","42,39%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","204","33,01%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,32%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,32%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,86%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","29","9,32%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","67","21,54%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","121","38,91%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","79","25,4%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,32%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,2%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,2%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,6%"
"A.S. SANTIAGO E BARBANZA","60-69","30","6,01%"
"A.S. SANTIAGO E BARBANZA","70-79","102","20,44%"
"A.S. SANTIAGO E BARBANZA","80-89","229","45,89%"
"A.S. SANTIAGO E BARBANZA",">=90","127","25,45%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,2%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,14%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,55%"
"A.S. VIGO","50-59","26","3,58%"
"A.S. VIGO","60-69","42","5,79%"
"A.S. VIGO","70-79","132","18,18%"
"A.S. VIGO","80-89","308","42,42%"
"A.S. VIGO",">=90","213","29,34%"
