Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,2%"
"GALICIA","40-49","2","0,2%"
"GALICIA","50-59","29","2,83%"
"GALICIA","60-69","63","6,15%"
"GALICIA","70-79","184","17,97%"
"GALICIA","80-89","471","46%"
"GALICIA",">=90","273","26,66%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,41%"
"A.S. A CORUÑA E CEE","40-49","1","0,41%"
"A.S. A CORUÑA E CEE","50-59","8","3,27%"
"A.S. A CORUÑA E CEE","60-69","20","8,16%"
"A.S. A CORUÑA E CEE","70-79","52","21,22%"
"A.S. A CORUÑA E CEE","80-89","102","41,63%"
"A.S. A CORUÑA E CEE",">=90","61","24,9%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","1","1,92%"
"A.S. FERROL","60-69","3","5,77%"
"A.S. FERROL","70-79","13","25%"
"A.S. FERROL","80-89","27","51,92%"
"A.S. FERROL",">=90","8","15,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,93%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","7","6,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","17","15,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","53","49,07%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","30","27,78%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,3%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","9","3,45%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","36","13,79%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","120","45,98%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","90","34,48%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","7,5%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","10","25%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","9","22,5%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","16","40%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","2","5%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,67%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,67%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,67%"
"A.S. SANTIAGO E BARBANZA","60-69","10","6,67%"
"A.S. SANTIAGO E BARBANZA","70-79","28","18,67%"
"A.S. SANTIAGO E BARBANZA","80-89","77","51,33%"
"A.S. SANTIAGO E BARBANZA",">=90","29","19,33%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","3,57%"
"A.S. VIGO","60-69","4","2,38%"
"A.S. VIGO","70-79","29","17,26%"
"A.S. VIGO","80-89","76","45,24%"
"A.S. VIGO",">=90","53","31,55%"
