Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,05%"
"GALICIA","30-39","2","0,1%"
"GALICIA","40-49","5","0,26%"
"GALICIA","50-59","49","2,57%"
"GALICIA","60-69","126","6,6%"
"GALICIA","70-79","350","18,32%"
"GALICIA","80-89","855","44,76%"
"GALICIA",">=90","521","27,28%"
"GALICIA","Otros","1","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,22%"
"A.S. A CORUÑA E CEE","40-49","3","0,65%"
"A.S. A CORUÑA E CEE","50-59","17","3,7%"
"A.S. A CORUÑA E CEE","60-69","41","8,93%"
"A.S. A CORUÑA E CEE","70-79","101","22%"
"A.S. A CORUÑA E CEE","80-89","190","41,39%"
"A.S. A CORUÑA E CEE",">=90","106","23,09%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","1,34%"
"A.S. FERROL","60-69","9","6,04%"
"A.S. FERROL","70-79","37","24,83%"
"A.S. FERROL","80-89","67","44,97%"
"A.S. FERROL",">=90","34","22,82%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","11","6,18%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","24","13,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","81","45,51%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","61","34,27%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","8","2,15%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","14","3,76%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","57","15,32%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","168","45,16%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","125","33,6%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","5","4,03%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","16","12,9%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","34","27,42%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","46","37,1%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","23","18,55%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,36%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,36%"
"A.S. SANTIAGO E BARBANZA","50-59","5","1,78%"
"A.S. SANTIAGO E BARBANZA","60-69","17","6,05%"
"A.S. SANTIAGO E BARBANZA","70-79","51","18,15%"
"A.S. SANTIAGO E BARBANZA","80-89","142","50,53%"
"A.S. SANTIAGO E BARBANZA",">=90","63","22,42%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,36%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,29%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,29%"
"A.S. VIGO","50-59","11","3,17%"
"A.S. VIGO","60-69","18","5,19%"
"A.S. VIGO","70-79","46","13,26%"
"A.S. VIGO","80-89","161","46,4%"
"A.S. VIGO",">=90","109","31,41%"
