Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,25%"
"GALICIA","40-49","2","0,25%"
"GALICIA","50-59","24","3,01%"
"GALICIA","60-69","50","6,27%"
"GALICIA","70-79","147","18,44%"
"GALICIA","80-89","360","45,17%"
"GALICIA",">=90","212","26,6%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,47%"
"A.S. A CORUÑA E CEE","40-49","1","0,47%"
"A.S. A CORUÑA E CEE","50-59","6","2,84%"
"A.S. A CORUÑA E CEE","60-69","17","8,06%"
"A.S. A CORUÑA E CEE","70-79","46","21,8%"
"A.S. A CORUÑA E CEE","80-89","88","41,71%"
"A.S. A CORUÑA E CEE",">=90","52","24,64%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","60-69","3","8,82%"
"A.S. FERROL","70-79","10","29,41%"
"A.S. FERROL","80-89","14","41,18%"
"A.S. FERROL",">=90","7","20,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,1%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","42","46,15%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,57%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,39%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","7","3,95%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","24","13,56%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","84","47,46%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","56","31,64%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","2","8%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","7","28%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","5","20%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","10","40%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","1","4%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,82%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,82%"
"A.S. SANTIAGO E BARBANZA","50-59","3","2,46%"
"A.S. SANTIAGO E BARBANZA","60-69","7","5,74%"
"A.S. SANTIAGO E BARBANZA","70-79","21","17,21%"
"A.S. SANTIAGO E BARBANZA","80-89","63","51,64%"
"A.S. SANTIAGO E BARBANZA",">=90","26","21,31%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","4,38%"
"A.S. VIGO","60-69","3","2,19%"
"A.S. VIGO","70-79","25","18,25%"
"A.S. VIGO","80-89","59","43,07%"
"A.S. VIGO",">=90","44","32,12%"
