Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","5","0,18%"
"GALICIA","40-49","12","0,42%"
"GALICIA","50-59","91","3,2%"
"GALICIA","60-69","196","6,89%"
"GALICIA","70-79","553","19,45%"
"GALICIA","80-89","1.233","43,37%"
"GALICIA",">=90","751","26,42%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,29%"
"A.S. A CORUÑA E CEE","40-49","7","1,03%"
"A.S. A CORUÑA E CEE","50-59","28","4,11%"
"A.S. A CORUÑA E CEE","60-69","63","9,25%"
"A.S. A CORUÑA E CEE","70-79","149","21,88%"
"A.S. A CORUÑA E CEE","80-89","284","41,7%"
"A.S. A CORUÑA E CEE",">=90","148","21,73%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","6","2,48%"
"A.S. FERROL","60-69","13","5,37%"
"A.S. FERROL","70-79","53","21,9%"
"A.S. FERROL","80-89","109","45,04%"
"A.S. FERROL",">=90","61","25,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","3","1,12%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","19","7,06%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","38","14,13%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","122","45,35%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","86","31,97%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,21%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","13","2,7%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","19","3,94%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","80","16,6%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","209","43,36%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","160","33,2%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,42%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","4,64%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","25","10,55%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","58","24,47%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","89","37,55%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","53","22,36%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,26%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,26%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,05%"
"A.S. SANTIAGO E BARBANZA","60-69","26","6,65%"
"A.S. SANTIAGO E BARBANZA","70-79","84","21,48%"
"A.S. SANTIAGO E BARBANZA","80-89","183","46,8%"
"A.S. SANTIAGO E BARBANZA",">=90","87","22,25%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,26%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,18%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,55%"
"A.S. VIGO","50-59","22","4,07%"
"A.S. VIGO","60-69","31","5,73%"
"A.S. VIGO","70-79","91","16,82%"
"A.S. VIGO","80-89","237","43,81%"
"A.S. VIGO",">=90","156","28,84%"
