Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PCR_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PCR,Exitus
2021-05-14 18:00:00,"A.S. A CORUÑA E CEE","30.055","23","642","28.838","35","10","479.289","250.631","588"
2021-05-14 18:00:00,"A.S. FERROL","8.512","3","85","8.204","5","1","139.976","44.497","217"
2021-05-14 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.623","11","182","12.222","8","2","234.549","109.269","214"
2021-05-14 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.529","13","211","14.902","10","2","248.347","129.854","417"
2021-05-14 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.017","29","458","13.385","20","9","227.144","114.076","175"
2021-05-14 18:00:00,"A.S. SANTIAGO E BARBANZA","19.573","22","433","18.792","19","3","348.895","176.056","360"
2021-05-14 18:00:00,"A.S. VIGO","24.398","67","854","23.122","37","11","483.464","116.331","430"
2021-05-14 18:00:00,"GALICIA","124.707","168","2.865","119.465","134","38","2.161.664","940.714","2.401"
