Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,21%"
"GALICIA","40-49","2","0,21%"
"GALICIA","50-59","28","2,89%"
"GALICIA","60-69","59","6,09%"
"GALICIA","70-79","174","17,96%"
"GALICIA","80-89","443","45,72%"
"GALICIA",">=90","261","26,93%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,42%"
"A.S. A CORUÑA E CEE","40-49","1","0,42%"
"A.S. A CORUÑA E CEE","50-59","8","3,39%"
"A.S. A CORUÑA E CEE","60-69","19","8,05%"
"A.S. A CORUÑA E CEE","70-79","50","21,19%"
"A.S. A CORUÑA E CEE","80-89","98","41,53%"
"A.S. A CORUÑA E CEE",">=90","59","25%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","60-69","3","6,82%"
"A.S. FERROL","70-79","12","27,27%"
"A.S. FERROL","80-89","22","50%"
"A.S. FERROL",">=90","7","15,91%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,99%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","5,94%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","17","16,83%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","49","48,51%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","28","27,72%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,42%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","9","3,63%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","33","13,31%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","113","45,56%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","87","35,08%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","9,09%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","8","24,24%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","7","21,21%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","14","42,42%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","1","3,03%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,68%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,68%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,72%"
"A.S. SANTIAGO E BARBANZA","60-69","10","6,8%"
"A.S. SANTIAGO E BARBANZA","70-79","27","18,37%"
"A.S. SANTIAGO E BARBANZA","80-89","75","51,02%"
"A.S. SANTIAGO E BARBANZA",">=90","29","19,73%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","3,75%"
"A.S. VIGO","60-69","4","2,5%"
"A.S. VIGO","70-79","28","17,5%"
"A.S. VIGO","80-89","72","45%"
"A.S. VIGO",">=90","50","31,25%"
