Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,16%"
"GALICIA","40-49","14","0,44%"
"GALICIA","50-59","98","3,07%"
"GALICIA","60-69","215","6,74%"
"GALICIA","70-79","618","19,37%"
"GALICIA","80-89","1.376","43,13%"
"GALICIA",">=90","862","27,02%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,27%"
"A.S. A CORUÑA E CEE","40-49","8","1,07%"
"A.S. A CORUÑA E CEE","50-59","30","4,03%"
"A.S. A CORUÑA E CEE","60-69","65","8,72%"
"A.S. A CORUÑA E CEE","70-79","160","21,48%"
"A.S. A CORUÑA E CEE","80-89","311","41,74%"
"A.S. A CORUÑA E CEE",">=90","169","22,68%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","1","0,38%"
"A.S. FERROL","50-59","6","2,27%"
"A.S. FERROL","60-69","14","5,3%"
"A.S. FERROL","70-79","56","21,21%"
"A.S. FERROL","80-89","120","45,45%"
"A.S. FERROL",">=90","67","25,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,32%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","23","7,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","42","13,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","142","44,79%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","105","33,12%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,18%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","15","2,77%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","21","3,88%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","93","17,19%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","228","42,14%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","183","33,83%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,38%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,56%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","27","10,27%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","61","23,19%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","106","40,3%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","56","21,29%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,23%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,23%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,81%"
"A.S. SANTIAGO E BARBANZA","60-69","28","6,33%"
"A.S. SANTIAGO E BARBANZA","70-79","95","21,49%"
"A.S. SANTIAGO E BARBANZA","80-89","203","45,93%"
"A.S. SANTIAGO E BARBANZA",">=90","105","23,76%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,23%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,16%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,49%"
"A.S. VIGO","50-59","23","3,72%"
"A.S. VIGO","60-69","37","5,99%"
"A.S. VIGO","70-79","111","17,96%"
"A.S. VIGO","80-89","266","43,04%"
"A.S. VIGO",">=90","177","28,64%"
