Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","2","0,05%"
"GALICIA","30-39","5","0,13%"
"GALICIA","40-49","17","0,44%"
"GALICIA","50-59","105","2,72%"
"GALICIA","60-69","250","6,48%"
"GALICIA","70-79","735","19,04%"
"GALICIA","80-89","1.645","42,62%"
"GALICIA",">=90","1.099","28,47%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,23%"
"A.S. A CORUÑA E CEE","40-49","8","0,91%"
"A.S. A CORUÑA E CEE","50-59","31","3,51%"
"A.S. A CORUÑA E CEE","60-69","75","8,49%"
"A.S. A CORUÑA E CEE","70-79","190","21,52%"
"A.S. A CORUÑA E CEE","80-89","370","41,9%"
"A.S. A CORUÑA E CEE",">=90","207","23,44%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,62%"
"A.S. FERROL","50-59","7","2,18%"
"A.S. FERROL","60-69","17","5,3%"
"A.S. FERROL","70-79","60","18,69%"
"A.S. FERROL","80-89","144","44,86%"
"A.S. FERROL",">=90","91","28,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,01%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","26","6,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","55","13,92%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","166","42,03%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","142","35,95%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,16%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,66%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","27","4,23%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","111","17,37%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","269","42,1%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","214","33,49%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,3%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,3%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,61%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","29","8,73%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","75","22,59%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","128","38,55%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","85","25,6%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,3%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,19%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,19%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,5%"
"A.S. SANTIAGO E BARBANZA","60-69","33","6,18%"
"A.S. SANTIAGO E BARBANZA","70-79","107","20,04%"
"A.S. SANTIAGO E BARBANZA","80-89","246","46,07%"
"A.S. SANTIAGO E BARBANZA",">=90","137","25,66%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,19%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,13%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,53%"
"A.S. VIGO","50-59","26","3,44%"
"A.S. VIGO","60-69","43","5,69%"
"A.S. VIGO","70-79","137","18,12%"
"A.S. VIGO","80-89","322","42,59%"
"A.S. VIGO",">=90","223","29,5%"
