Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,2%"
"GALICIA","40-49","2","0,2%"
"GALICIA","50-59","28","2,87%"
"GALICIA","60-69","59","6,05%"
"GALICIA","70-79","175","17,93%"
"GALICIA","80-89","449","46%"
"GALICIA",">=90","261","26,74%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,42%"
"A.S. A CORUÑA E CEE","40-49","1","0,42%"
"A.S. A CORUÑA E CEE","50-59","8","3,39%"
"A.S. A CORUÑA E CEE","60-69","19","8,05%"
"A.S. A CORUÑA E CEE","70-79","50","21,19%"
"A.S. A CORUÑA E CEE","80-89","98","41,53%"
"A.S. A CORUÑA E CEE",">=90","59","25%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","60-69","3","6,67%"
"A.S. FERROL","70-79","12","26,67%"
"A.S. FERROL","80-89","23","51,11%"
"A.S. FERROL",">=90","7","15,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,98%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","5,88%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","17","16,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","50","49,02%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","28","27,45%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,4%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","9","3,6%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","34","13,6%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","114","45,6%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","87","34,8%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","8,82%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","8","23,53%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","7","20,59%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","15","44,12%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","1","2,94%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,68%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,68%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,7%"
"A.S. SANTIAGO E BARBANZA","60-69","10","6,76%"
"A.S. SANTIAGO E BARBANZA","70-79","27","18,24%"
"A.S. SANTIAGO E BARBANZA","80-89","76","51,35%"
"A.S. SANTIAGO E BARBANZA",">=90","29","19,59%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","3,73%"
"A.S. VIGO","60-69","4","2,48%"
"A.S. VIGO","70-79","28","17,39%"
"A.S. VIGO","80-89","73","45,34%"
"A.S. VIGO",">=90","50","31,06%"
