Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","3","0,13%"
"GALICIA","40-49","7","0,3%"
"GALICIA","50-59","67","2,88%"
"GALICIA","60-69","153","6,57%"
"GALICIA","70-79","445","19,11%"
"GALICIA","80-89","1.032","44,31%"
"GALICIA",">=90","620","26,62%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,18%"
"A.S. A CORUÑA E CEE","40-49","5","0,88%"
"A.S. A CORUÑA E CEE","50-59","20","3,53%"
"A.S. A CORUÑA E CEE","60-69","52","9,19%"
"A.S. A CORUÑA E CEE","70-79","126","22,26%"
"A.S. A CORUÑA E CEE","80-89","238","42,05%"
"A.S. A CORUÑA E CEE",">=90","124","21,91%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","5","2,35%"
"A.S. FERROL","60-69","12","5,63%"
"A.S. FERROL","70-79","45","21,13%"
"A.S. FERROL","80-89","98","46,01%"
"A.S. FERROL",">=90","53","24,88%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","0,95%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","14","6,64%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","28","13,27%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","98","46,45%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","69","32,7%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","8","1,94%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","15","3,63%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","69","16,71%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","184","44,55%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","137","33,17%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,62%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","6,83%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","18","11,18%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","44","27,33%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","60","37,27%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","27","16,77%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,28%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,28%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,26%"
"A.S. SANTIAGO E BARBANZA","60-69","21","5,93%"
"A.S. SANTIAGO E BARBANZA","70-79","73","20,62%"
"A.S. SANTIAGO E BARBANZA","80-89","169","47,74%"
"A.S. SANTIAGO E BARBANZA",">=90","80","22,6%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,28%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,24%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,24%"
"A.S. VIGO","50-59","13","3,16%"
"A.S. VIGO","60-69","21","5,11%"
"A.S. VIGO","70-79","60","14,6%"
"A.S. VIGO","80-89","185","45,01%"
"A.S. VIGO",">=90","130","31,63%"
