Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PCR_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PCR,Exitus
2021-05-16 18:00:00,"A.S. A CORUÑA E CEE","30.113","27","626","28.911","35","9","482.911","251.276","589"
2021-05-16 18:00:00,"A.S. FERROL","8.519","0","87","8.209","3","2","140.485","44.569","217"
2021-05-16 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.638","5","175","12.244","8","2","235.487","109.499","214"
2021-05-16 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.564","16","223","14.925","14","2","249.619","130.421","417"
2021-05-16 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.036","9","426","13.436","20","9","229.031","114.704","175"
2021-05-16 18:00:00,"A.S. SANTIAGO E BARBANZA","19.615","19","424","18.843","20","3","350.242","176.562","360"
2021-05-16 18:00:00,"A.S. VIGO","24.455","23","828","23.204","39","10","486.583","116.604","431"
2021-05-16 18:00:00,"GALICIA","124.940","99","2.789","119.772","139","37","2.174.358","943.635","2.403"
