Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,06%"
"GALICIA","30-39","2","0,13%"
"GALICIA","40-49","3","0,19%"
"GALICIA","50-59","38","2,4%"
"GALICIA","60-69","99","6,25%"
"GALICIA","70-79","274","17,3%"
"GALICIA","80-89","716","45,2%"
"GALICIA",">=90","450","28,41%"
"GALICIA","Otros","1","0,06%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,28%"
"A.S. A CORUÑA E CEE","40-49","1","0,28%"
"A.S. A CORUÑA E CEE","50-59","11","3,12%"
"A.S. A CORUÑA E CEE","60-69","30","8,5%"
"A.S. A CORUÑA E CEE","70-79","72","20,4%"
"A.S. A CORUÑA E CEE","80-89","148","41,93%"
"A.S. A CORUÑA E CEE",">=90","90","25,5%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","1,83%"
"A.S. FERROL","60-69","6","5,5%"
"A.S. FERROL","70-79","23","21,1%"
"A.S. FERROL","80-89","52","47,71%"
"A.S. FERROL",">=90","26","23,85%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,63%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","5,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","23","14,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","70","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","55","34,81%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,83%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,67%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","49","14,98%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","150","45,87%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","110","33,64%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","4","4,17%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","13","13,54%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","24","25%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","36","37,5%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","19","19,79%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,42%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,42%"
"A.S. SANTIAGO E BARBANZA","50-59","5","2,08%"
"A.S. SANTIAGO E BARBANZA","60-69","15","6,25%"
"A.S. SANTIAGO E BARBANZA","70-79","44","18,33%"
"A.S. SANTIAGO E BARBANZA","80-89","121","50,42%"
"A.S. SANTIAGO E BARBANZA",">=90","52","21,67%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,42%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,33%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,33%"
"A.S. VIGO","50-59","9","2,99%"
"A.S. VIGO","60-69","14","4,65%"
"A.S. VIGO","70-79","39","12,96%"
"A.S. VIGO","80-89","139","46,18%"
"A.S. VIGO",">=90","98","32,56%"
