Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","2","0,05%"
"GALICIA","30-39","5","0,13%"
"GALICIA","40-49","17","0,46%"
"GALICIA","50-59","105","2,82%"
"GALICIA","60-69","244","6,56%"
"GALICIA","70-79","709","19,07%"
"GALICIA","80-89","1.589","42,75%"
"GALICIA",">=90","1.044","28,09%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,24%"
"A.S. A CORUÑA E CEE","40-49","8","0,94%"
"A.S. A CORUÑA E CEE","50-59","31","3,64%"
"A.S. A CORUÑA E CEE","60-69","73","8,58%"
"A.S. A CORUÑA E CEE","70-79","181","21,27%"
"A.S. A CORUÑA E CEE","80-89","360","42,3%"
"A.S. A CORUÑA E CEE",">=90","196","23,03%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,63%"
"A.S. FERROL","50-59","7","2,19%"
"A.S. FERROL","60-69","17","5,33%"
"A.S. FERROL","70-79","60","18,81%"
"A.S. FERROL","80-89","142","44,51%"
"A.S. FERROL",">=90","91","28,53%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,07%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","26","6,97%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","53","14,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","157","42,09%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","131","35,12%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,16%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,74%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","27","4,35%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","108","17,42%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","263","42,42%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","204","32,9%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,32%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,32%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,8%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","29","9,18%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","70","22,15%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","123","38,92%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","79","25%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,32%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,2%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,2%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,58%"
"A.S. SANTIAGO E BARBANZA","60-69","30","5,92%"
"A.S. SANTIAGO E BARBANZA","70-79","104","20,51%"
"A.S. SANTIAGO E BARBANZA","80-89","234","46,15%"
"A.S. SANTIAGO E BARBANZA",">=90","128","25,25%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,2%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,14%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,55%"
"A.S. VIGO","50-59","26","3,56%"
"A.S. VIGO","60-69","42","5,75%"
"A.S. VIGO","70-79","133","18,19%"
"A.S. VIGO","80-89","310","42,41%"
"A.S. VIGO",">=90","215","29,41%"
