Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,05%"
"GALICIA","30-39","3","0,15%"
"GALICIA","40-49","6","0,29%"
"GALICIA","50-59","55","2,7%"
"GALICIA","60-69","133","6,52%"
"GALICIA","70-79","372","18,24%"
"GALICIA","80-89","912","44,73%"
"GALICIA",">=90","556","27,27%"
"GALICIA","Otros","1","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,2%"
"A.S. A CORUÑA E CEE","40-49","4","0,8%"
"A.S. A CORUÑA E CEE","50-59","19","3,82%"
"A.S. A CORUÑA E CEE","60-69","44","8,84%"
"A.S. A CORUÑA E CEE","70-79","108","21,69%"
"A.S. A CORUÑA E CEE","80-89","210","42,17%"
"A.S. A CORUÑA E CEE",">=90","112","22,49%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","3","1,73%"
"A.S. FERROL","60-69","11","6,36%"
"A.S. FERROL","70-79","41","23,7%"
"A.S. FERROL","80-89","77","44,51%"
"A.S. FERROL",">=90","41","23,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","12","6,49%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","24","12,97%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","85","45,95%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","63","34,05%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","8","2,06%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","15","3,87%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","60","15,46%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","176","45,36%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","129","33,25%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,74%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","8","5,93%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","16","11,85%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","37","27,41%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","50","37,04%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","23","17,04%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,34%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,34%"
"A.S. SANTIAGO E BARBANZA","50-59","5","1,68%"
"A.S. SANTIAGO E BARBANZA","60-69","17","5,7%"
"A.S. SANTIAGO E BARBANZA","70-79","54","18,12%"
"A.S. SANTIAGO E BARBANZA","80-89","149","50%"
"A.S. SANTIAGO E BARBANZA",">=90","70","23,49%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,34%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,28%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,28%"
"A.S. VIGO","50-59","11","3,04%"
"A.S. VIGO","60-69","18","4,97%"
"A.S. VIGO","70-79","48","13,26%"
"A.S. VIGO","80-89","165","45,58%"
"A.S. VIGO",">=90","118","32,6%"
