Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,05%"
"GALICIA","30-39","3","0,16%"
"GALICIA","40-49","5","0,26%"
"GALICIA","50-59","49","2,53%"
"GALICIA","60-69","128","6,62%"
"GALICIA","70-79","353","18,25%"
"GALICIA","80-89","866","44,78%"
"GALICIA",">=90","528","27,3%"
"GALICIA","Otros","1","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,21%"
"A.S. A CORUÑA E CEE","40-49","3","0,64%"
"A.S. A CORUÑA E CEE","50-59","17","3,62%"
"A.S. A CORUÑA E CEE","60-69","42","8,96%"
"A.S. A CORUÑA E CEE","70-79","102","21,75%"
"A.S. A CORUÑA E CEE","80-89","196","41,79%"
"A.S. A CORUÑA E CEE",">=90","108","23,03%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","1,32%"
"A.S. FERROL","60-69","10","6,62%"
"A.S. FERROL","70-79","37","24,5%"
"A.S. FERROL","80-89","68","45,03%"
"A.S. FERROL",">=90","34","22,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","11","6,18%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","24","13,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","81","45,51%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","61","34,27%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","8","2,13%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","14","3,73%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","57","15,2%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","169","45,07%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","127","33,87%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,78%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","5","3,91%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","16","12,5%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","36","28,13%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","47","36,72%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","23","17,97%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,35%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,35%"
"A.S. SANTIAGO E BARBANZA","50-59","5","1,75%"
"A.S. SANTIAGO E BARBANZA","60-69","17","5,96%"
"A.S. SANTIAGO E BARBANZA","70-79","51","17,89%"
"A.S. SANTIAGO E BARBANZA","80-89","144","50,53%"
"A.S. SANTIAGO E BARBANZA",">=90","65","22,81%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,35%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,29%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,29%"
"A.S. VIGO","50-59","11","3,16%"
"A.S. VIGO","60-69","18","5,17%"
"A.S. VIGO","70-79","46","13,22%"
"A.S. VIGO","80-89","161","46,26%"
"A.S. VIGO",">=90","110","31,61%"
