Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,04%"
"GALICIA","30-39","5","0,19%"
"GALICIA","40-49","8","0,31%"
"GALICIA","50-59","78","3,03%"
"GALICIA","60-69","174","6,76%"
"GALICIA","70-79","494","19,19%"
"GALICIA","80-89","1.134","44,06%"
"GALICIA",">=90","679","26,38%"
"GALICIA","Otros","1","0,04%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,31%"
"A.S. A CORUÑA E CEE","40-49","6","0,94%"
"A.S. A CORUÑA E CEE","50-59","26","4,09%"
"A.S. A CORUÑA E CEE","60-69","58","9,12%"
"A.S. A CORUÑA E CEE","70-79","140","22,01%"
"A.S. A CORUÑA E CEE","80-89","267","41,98%"
"A.S. A CORUÑA E CEE",">=90","137","21,54%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","5","2,19%"
"A.S. FERROL","60-69","12","5,26%"
"A.S. FERROL","70-79","49","21,49%"
"A.S. FERROL","80-89","103","45,18%"
"A.S. FERROL",">=90","59","25,88%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","0,85%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","17","7,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","32","13,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","111","47,03%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","74","31,36%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,23%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","9","2,05%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","17","3,88%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","72","16,44%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","196","44,75%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","143","32,65%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,5%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","11","5,47%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","20","9,95%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","51","25,37%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","77","38,31%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","41","20,4%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,27%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,27%"
"A.S. SANTIAGO E BARBANZA","50-59","8","2,16%"
"A.S. SANTIAGO E BARBANZA","60-69","24","6,49%"
"A.S. SANTIAGO E BARBANZA","70-79","79","21,35%"
"A.S. SANTIAGO E BARBANZA","80-89","174","47,03%"
"A.S. SANTIAGO E BARBANZA",">=90","82","22,16%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,27%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,22%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,22%"
"A.S. VIGO","50-59","17","3,66%"
"A.S. VIGO","60-69","26","5,59%"
"A.S. VIGO","70-79","71","15,27%"
"A.S. VIGO","80-89","206","44,3%"
"A.S. VIGO",">=90","143","30,75%"
