Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","3","0,07%"
"GALICIA","30-39","5","0,12%"
"GALICIA","40-49","20","0,48%"
"GALICIA","50-59","107","2,56%"
"GALICIA","60-69","272","6,51%"
"GALICIA","70-79","793","18,98%"
"GALICIA","80-89","1.775","42,48%"
"GALICIA",">=90","1.201","28,75%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","1","0,11%"
"A.S. A CORUÑA E CEE","30-39","2","0,21%"
"A.S. A CORUÑA E CEE","40-49","9","0,96%"
"A.S. A CORUÑA E CEE","50-59","32","3,41%"
"A.S. A CORUÑA E CEE","60-69","80","8,52%"
"A.S. A CORUÑA E CEE","70-79","199","21,19%"
"A.S. A CORUÑA E CEE","80-89","389","41,43%"
"A.S. A CORUÑA E CEE",">=90","227","24,17%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,57%"
"A.S. FERROL","50-59","7","2%"
"A.S. FERROL","60-69","17","4,86%"
"A.S. FERROL","70-79","65","18,57%"
"A.S. FERROL","80-89","157","44,86%"
"A.S. FERROL",">=90","102","29,14%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","0,9%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","28","6,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","60","13,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","188","42,34%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","162","36,49%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,15%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,51%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","29","4,29%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","117","17,31%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","288","42,6%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","224","33,14%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,27%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,27%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","1","0,27%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,28%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","33","9,02%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","83","22,68%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","141","38,52%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","93","25,41%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,27%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,18%"
"A.S. SANTIAGO E BARBANZA","40-49","2","0,35%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,41%"
"A.S. SANTIAGO E BARBANZA","60-69","37","6,54%"
"A.S. SANTIAGO E BARBANZA","70-79","113","19,96%"
"A.S. SANTIAGO E BARBANZA","80-89","262","46,29%"
"A.S. SANTIAGO E BARBANZA",">=90","142","25,09%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,18%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,12%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,48%"
"A.S. VIGO","50-59","27","3,23%"
"A.S. VIGO","60-69","48","5,73%"
"A.S. VIGO","70-79","156","18,64%"
"A.S. VIGO","80-89","350","41,82%"
"A.S. VIGO",">=90","251","29,99%"
