Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,07%"
"GALICIA","30-39","2","0,15%"
"GALICIA","40-49","2","0,15%"
"GALICIA","50-59","35","2,55%"
"GALICIA","60-69","81","5,91%"
"GALICIA","70-79","238","17,37%"
"GALICIA","80-89","619","45,18%"
"GALICIA",">=90","391","28,54%"
"GALICIA","Otros","1","0,07%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,33%"
"A.S. A CORUÑA E CEE","40-49","1","0,33%"
"A.S. A CORUÑA E CEE","50-59","11","3,58%"
"A.S. A CORUÑA E CEE","60-69","28","9,12%"
"A.S. A CORUÑA E CEE","70-79","65","21,17%"
"A.S. A CORUÑA E CEE","80-89","129","42,02%"
"A.S. A CORUÑA E CEE",">=90","72","23,45%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","2,3%"
"A.S. FERROL","60-69","4","4,6%"
"A.S. FERROL","70-79","18","20,69%"
"A.S. FERROL","80-89","39","44,83%"
"A.S. FERROL",">=90","24","27,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,69%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","6,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","21","14,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","63","43,45%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","51","35,17%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,95%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,9%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","46","14,94%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","139","45,13%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","105","34,09%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","3,9%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","11","14,29%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","17","22,08%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","30","38,96%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","16","20,78%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,54%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,54%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,17%"
"A.S. SANTIAGO E BARBANZA","60-69","11","5,98%"
"A.S. SANTIAGO E BARBANZA","70-79","33","17,93%"
"A.S. SANTIAGO E BARBANZA","80-89","96","52,17%"
"A.S. SANTIAGO E BARBANZA",">=90","37","20,11%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,54%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,38%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","8","3,05%"
"A.S. VIGO","60-69","6","2,29%"
"A.S. VIGO","70-79","38","14,5%"
"A.S. VIGO","80-89","123","46,95%"
"A.S. VIGO",">=90","86","32,82%"
