Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PCR_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PCR,Exitus
2021-04-24 18:00:00,"A.S. A CORUÑA E CEE","29.340","29","738","28.030","47","12","438.907","242.024","585"
2021-04-24 18:00:00,"A.S. FERROL","8.404","3","119","8.063","11","2","134.634","43.196","216"
2021-04-24 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.363","10","206","11.939","9","4","221.279","104.872","213"
2021-04-24 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.233","15","255","14.564","18","11","233.797","122.787","415"
2021-04-24 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","13.449","36","481","12.799","19","5","205.934","105.298","171"
2021-04-24 18:00:00,"A.S. SANTIAGO E BARBANZA","19.039","28","343","18.348","19","4","330.636","168.647","360"
2021-04-24 18:00:00,"A.S. VIGO","23.398","70","874","22.108","35","8","443.915","110.222","422"
2021-04-24 18:00:00,"GALICIA","121.226","191","3.016","115.851","158","46","2.009.102","897.046","2.382"
